#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,,,,,
85,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,,99892,,,,,
86,Estonia,"615,735",,"2,949                                ",,"524,990",,"87,796",3,"465,792","2,231","3,682,656","2,785,860","1,321,910 ",Europe,,24480,,,,,
87,Moldova,"613,974",,"12,025                                ",,"504,142",,"97,807",49,"152,990","2,996","3,216,305","801,437","4,013,171 ",Europe,,73341,,,,,
88,Venezuela,"552,233",,"5,854                                ",,"546,018",,361,31,"18,869",200,"3,359,014","114,771","29,266,991 ",South America,,"534,9999",,,,,
89,Egypt,"515,759",,"24,613                                ",,"442,182",,"48,964",122,"4,858",232,"3,693,367","34,792","106,156,692 ",Africa,,"2064,31329",,,,,
90,Libya,"507,201",,"6,437                                ",,"500,750",,14,,"72,038",914,"2,483,812","352,777","7,040,745 ",Africa,,"141,0943",,,,,
91,Ethiopia,"500,212",,"7,572                                ",,"487,404",,"5,236",1,"4,140",63,"5,505,142","45,568","120,812,698 ",Africa,,"24215,95522",,,,,
92,Qatar,"495,856",,688                                ,,"494,555",,613,23,"166,399",231,"4,065,369","1,364,257","2,979,915 ",Asia,,"64,3311",,,,,
93,Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061 ",Africa,,29861,,,,,
94,Honduras,"472,340",,"11,111                                ",,N/A,N/A,N/A,105,"46,212","1,087","1,640,835","160,532","10,221,247 ",North America,,229206,,,,,
95,Armenia,"447,778",,"8,733                                ",,"435,162",,"3,883",,"150,667","2,938","3,242,901","1,091,164","2,971,966 ",Asia,,73401,,,,,
96,Bosnia and Herzegovina,"401,914",,"16,289                                ",,"379,084",,"6,541",,"123,692","5,013","1,884,721","580,036","3,249,317 ",Europe,,81992,,,,,
97,Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993 ",Asia,,"131,1500",,,,,
98,North Macedonia,"346,852",,"9,662                                ",,"337,068",,122,,"166,651","4,642","2,226,216","1,069,626","2,081,304 ",Europe,,62151,,,,,
99,Zambia,"343,344",,"4,057                                ",,"339,113",,174,,"17,634",208,"3,960,805","203,429","19,470,234 ",Africa,,"574,7995",,,,,
100,Kenya,"342,943",,"5,688                                ",,"337,225",,30,1,"6,101",101,"3,967,062","70,569","56,215,221 ",Africa,,"1649,88314",,,,,
101,Albania,"334,542",,"3,598                                ",,"329,260",,"1,684",,"116,713","1,255","1,941,032","677,173","2,866,374 ",Europe,,97971,,,,,
102,Botswana,"329,769",,"2,801                                ",,"326,962",,6,1,"135,087","1,147","2,026,898","830,300","2,441,162 ",Africa,,78721,,,,,
103,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,,25670,,,,,
104,Montenegro,"289,186",,"2,808                                ",,"285,737",,641,6,"460,524","4,472","2,727,362","4,343,279","627,950 ",Europe,,22240,,,,,
105,Brunei ,"280,790",,225                                ,,"243,601",,"36,964",3,"630,378",505,"717,784","1,611,437","445,431 ",Asia,,"21,9801",,,,,
106,Algeria,"271,542",,"6,881                                ",,"182,836",,"81,825",,"5,988",152,"230,861","5,091","45,350,148 ",Africa,,"1676,591196",,,,,
107,Nigeria,"266,641",,"3,155                                ",,"259,938",,"3,548",11,"1,230",15,"5,708,974","26,339","216,746,934 ",Africa,,"81368,70038",,,,,
108,Zimbabwe,"264,391",,"5,672                                ",,"258,184",,535,12,"17,245",370,"2,525,756","164,744","15,331,428 ",Africa,,"582,7036",,,,,
109,Uzbekistan,"251,430",,"1,637                                ",,"241,486",,"8,307",23,"7,313",48,"1,377,915","40,077","34,382,084 ",Asia,,"13721,00325",,,,,
110,Mozambique,"233,214",,"2,242                                ",,"228,805",,"2,167",11,"7,048",68,"1,371,127","41,437","33,089,461 ",Africa,,"14214,75924",,,,,
111,Martinique,"229,807",,"1,098                                ",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087 ",North America,,23410,,,,,
112,Laos,"218,026",,758                                ,,N/A,N/A,N/A,,"29,144",101,"1,233,207","164,845","7,481,023 ",Asia,,"349,8696",,,,,
113,Afghanistan,"209,672",,"7,896                                ",,"191,540",,"10,236",45,"5,145",194,"1,208,906","29,663","40,754,388 ",Asia,,"1945,16134",,,,,
114,Iceland,"209,168",,229                                ,,N/A,N/A,N/A,2,"605,594",663,"1,996,384","5,780,036","345,393 ",Europe,,"21,5080",,,,,
115,Kyrgyzstan,"206,740",,"2,991                                ",,"196,406",,"7,343",131,"30,727",445,"1,907,195","283,460","6,728,271 ",Asia,,"332,2504",,,,,
116,Guadeloupe,"201,886",,"1,010                                ",,N/A,N/A,N/A,19,"504,975","2,526","938,039","2,346,306","399,794 ",North America,,23960,,,,,
117,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,,"321,5493",,,,,
118,Trinidad and Tobago,"190,285",,"4,361                                ",,"185,714",,210,8,"135,282","3,100","902,869","641,887","1,406,585 ",North America,,73232,,,,,
119,Maldives,"185,744",,311                                ,,"163,687",,"21,746",25,"343,344",575,"2,213,831","4,092,223","540,985 ",Asia,,"31,7400",,,,,
120,Ghana,"171,288",,"1,462                                ",,"169,781",,45,2,"5,287",45,"2,532,076","78,161","32,395,450 ",Africa,,"18922,15813",,,,,
121,Namibia,"171,208",,"4,090                                ",,"166,776",,342,,"65,002","1,553","1,062,663","403,460","2,633,874 ",Africa,,156442,,,,,
