S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
173,RBCLPO,"11,438.00",-4.30,-0.04,"11,214.00","11,438.00","11,214.00",40.00,"11,442.30"
174,RFPL,298.00,0.00,0.00,298.00,303.00,293.20,570.00,298.00
175,RHGCL,338.50,-5.50,-1.60,338.00,341.00,338.00,"11,698.00",344.00
176,RHPL,306.60,0.60,0.20,303.50,308.00,303.50,"8,408.00",306.00
177,RIDI,349.50,7.50,2.19,348.00,353.00,343.10,"14,936.00",342.00
178,RLFL,305.00,4.00,1.33,300.00,308.90,300.00,632.00,301.00
179,RLI,394.20,1.10,0.28,391.10,402.00,391.10,"2,115.00",393.10
180,RMDC,705.00,6.00,0.86,699.00,709.00,699.00,945.00,699.00
181,RMF1,7.50,-0.08,-1.06,7.50,7.50,7.50,"2,100.00",7.58
182,RSDC,500.00,8.00,1.63,498.00,502.00,498.00,745.00,492.00
183,RULB,665.00,6.00,0.91,660.00,665.00,655.10,275.00,659.00
184,RURU,790.00,0.00,0.00,789.00,790.00,787.00,119.00,790.00
185,SABSL,624.00,0.00,0.00,625.00,625.00,624.00,141.00,624.00
186,SADBL,300.30,3.20,1.08,297.00,308.70,297.00,"4,796.00",297.10
187,SAEF,10.49,0.00,0.00,10.32,10.49,10.29,"20,120.00",10.49
188,SAGF,8.55,-0.21,-2.40,8.75,8.75,8.55,"7,375.00",8.76
189,SAHAS,538.00,0.00,0.00,534.00,541.00,534.00,"2,670.00",538.00
190,SANIMA,239.50,0.50,0.21,243.00,243.90,239.40,"12,085.00",239.00
191,SAPDBL,245.90,-2.00,-0.81,251.00,251.00,245.90,337.00,247.90
192,SBI,317.00,0.10,0.03,323.00,323.00,317.00,"17,653.00",316.90
193,SBID83,910.00,0.00,0.00,910.00,910.00,910.00,100.00,910.00
194,SBL,259.00,-2.00,-0.77,261.00,262.00,257.10,"14,188.00",261.00
195,SCB,515.00,2.00,0.39,521.00,521.00,515.00,"13,112.00",513.00
196,SDLBSL,675.00,7.00,1.05,657.00,675.00,657.00,44.00,668.00
197,SFCL,295.00,1.00,0.34,297.90,297.90,293.30,"2,641.00",294.00
